BWK_code,beheerklasse,landgebruiksklasse_bemesting
khpr-,0,0
khprua,0,0
khpt,0,0
khpt-,0,0
khq,0,0
khq-,0,0
khq+,0,0
khqr,0,0
khqr-,0,0
khqr+,0,0
khr,0,0
khr-,0,0
khs,0,0
khs-,0,0
khs+,0,0
khsa,0,0
khsa-,0,0
khu,0,0
khu-,0,0
khw,0,0
khw-,0,0
khw+,0,0
khwa,0,0
khwac,0,0
khwb,0,0
khwb-,0,0
khwf,0,0
khwgml,0,0
khwp,0,0
khwq,0,0
khwq-,0,0
khwq+,0,0
khwqr,0,0
khwqr-,0,0
khwr,0,0
khwr+,0,0
khwu,0,0
ki,0,0
kj,0,0
kj-,0,0
kj+,0,0
kk,0,0
kl,0,1
km,0,0
km-,0,0
km+,0,0
kn,0,0
kn-,0,0
kn+,0,0
ko,0,0
kp,0,0
kp-,0,0
kp+,0,0
kpa,0,0
kpk,0,0
kpk-,0,0
kpk+,0,0
kq,0,0
kr,0,0
ks,0,0
kt,0,0
kt-,0,0
kt(cdb),0,0
kt(ce),0,0
kt(cg),0,0
kt(cgb),0,0
kt(cp),0,0
kt(cp-),0,0
kt(cpb),0,0
kt(da),0,0
kt(fm-),0,0
kt(fs),0,0
kt(ha),0,0
kt(ha-),0,0
kt(ha+),0,0
kt(hab),0,0
kt(hab-),0,0
kt(hd),0,0
kt(hk),0,0
kt(hp+),0,0
kt(hr),0,0
kt(hr-),0,0
kt(hrb),0,0
kt(hu),0,0
kt(hu-),0,0
kt(hu+),0,0
kt(ku),0,0
kt(ku-),0,0
kt(ku+),0,0
kt(kub),0,0
kt(mr),0,0
kt(qa),0,0
kt(qa-),0,0
kt(qa+),0,0
kt(qb),0,0
kt(qb-),0,0
kt(qe),0,0
kt(qs),0,0
kt(ru),0,0
kt(ru-),0,0
kt(sg),0,0
kt(sg-),0,0
kt(sgb),0,0
kt(sgu-),0,0
kt(sp),0,0
kt(sp-),0,0
kt(sp+),0,0
kt(sz),0,0
kt(sz-),0,0
kt(sz+),0,0
kt(va),0,0
kt(va-),0,0
kt+,3,0
ku,1,0
ku-,1,0
ku+,1,0
kub,1,0
kub-,1,0
kub+,1,0
kw,0,0
kw-,0,0
kw+,0,0
kz,0,0
l,0,0
lar,0,0
lh,0,0
lh+,0,0
lhb,0,0
lhb+,0,0
lhi,0,0
lhi+,0,0
ls,0,0
ls+,0,0
lsb,0,0
lsb+,0,0
lsh,0,0
lsi,0,0
lsi+,0,0
mc,1,0
mc-,1,0
mc+,1,0
mcb,1,0
mcb-,1,0
md,3,0
md+,3,0
mk,3,0
mm,1,0
mp,3,0
mp-,3,0
mr,3,0
mr-,3,0
mr+,3,0
mrb,1,0
mrb-,1,0
mrb+,1,0
mru,1,0
mru-,1,0
ms,1,0
ms-,1,0
ms+,1,0
msb,1,0
msb-,1,0
msb+,1,0
mz,1,0
mz-,1,0
n,0,0
n-,0,0
n+,0,0
ng,0,0
p,0,0
pa,0,0
pa-,0,0
pi,0,0
pica,0,0
pinn,0,0
pins,0,0
pmb,0,0
pmb-,0,0
pmh,0,0
pmh+,0,0
pms,0,0
pop,0,0
pp,0,0
ppa,0,0
ppi,0,0
ppmb,0,0
ppmb-,0,0
ppmh,0,0
ppms,0,0
ppms-,0,0
prus,0,0
q,0,0
qa,0,0
qa-,0,0
qa+,0,0
qb,0,0
qb-,0,0
qb+,0,0
c,0,0
hac,1,0
hac-,1,0
hacb,1,0
hfl,3,1
hflb,1,1
hftb,3,1
hnb-,1,0
na,0,0
ni,0,0
pm,0,0
ppmp,0,0
vr,0,0
alni,0,0
cesb,0,0
cmb-,0,0
fran,0,0
hacb-,1,0
hat,1,0
hme-,3,0
k(ao+),0,0
k(cm-),0,0
k(hac),1,0
k(hac-),1,0
k(hat),1,0
k(hfl),1,1
k(hm-),3,0
k(hme),3,0
k(hmo),3,0
k(hmo-),3,0
k(mk),3,0
k(sg),1,0
k(sg-),1,0
k(sgu),1,0
kbpotr,0,0
khwa+,0,0
mkb,1,0
msd,1,0
myr,1,0
plat,0,0
ppmc,0,0
ppmq,0,0
pppmh,0,0
pse,0,0
smb,1,0
spr,1,0
hfl-,3,1
k(hp),1,0
