BWK_code,beheerklasse,landgebruiksklasse_bemesting
vf,0,0
vf-,0,0
vf+,0,0
vm,0,0
vm-,0,0
vm+,0,0
vn,0,0
vn-,0,0
vn+,0,0
vo,0,0
vo-,0,0
vo+,0,0
vt,0,0
vt-,0,0
wat,0,0
weg,0,0
zee,0,0
acer,0,0
ad,0,0
ad-,0,0
ae,0,0
ae-,0,0
ae+,0,0
aer,0,0
aer-,0,0
aer+,0,0
aes,0,0
aev,0,0
aev-,0,0
aev+,0,0
ah,0,0
ah-,0,0
alng,0,0
ao,0,0
ao-,0,0
ao+,0,0
aom,0,0
aom-,0,0
aom+,0,0
aoo,0,0
aoo-,0,0
aoo+,0,0
ap,0,0
ap-,0,0
ap+,0,0
apo,0,0
apo+,0,0
app,0,0
app-,0,0
app+,0,0
b,3,2
bet,0,0
bk,3,2
bk+,3,2
bl,3,2
bl+,3,2
bs,3,2
bs+,3,2
bu,3,2
bu+,3,2
cas,0,0
cd,0,0
cdb,0,0
ce,0,0
ce-,0,0
ceb,0,0
ces,0,0
ces-,0,0
ces+,0,0
cg,0,0
cg-,0,0
cgb,0,0
cgb-,0,0
qe,0,0
qe-,0,0
qe+,0,0
qk,0,0
qk-,0,0
ql,0,0
ql-,0,0
qs,0,0
qs-,0,0
qs+,0,0
que,0,0
quer,0,0
rob,0,0
ru,0,0
ru-,0,0
rud,0,0
rud-,0,0
rud+,0,0
sal,0,0
sd,1,0
sd-,1,0
sd+,1,0
sdb,0,0
sdb-,0,0
sdb+,0,0
se,0,0
se-,0,0
se+,0,0
sf,1,0
sf-,1,0
sf+,1,0
sg,1,0
sg-,1,0
sg+,1,0
sgb,0,0
sgb-,0,0
sgu,1,0
sgu-,1,0
sgu+,1,0
sk,1,0
sk-,1,0
sm,1,0
sm-,1,0
so,1,0
so-,1,0
sp,1,0
sp-,1,0
sp+,1,0
spoor,0,0
sz,0,0
sz-,0,0
sz+,0,0
t,0,0
til,0,0
u,0,0
ua,0,0
ua-,0,0
uc,0,0
ud,0,0
ui,0,0
ui-,0,0
un,0,0
ur,0,0
ur-,0,0
ur+,0,0
uv,0,0
uv-,0,0
va,0,0
va-,0,0
va+,0,0
vc,0,0
vc-,0,0
vc+,0,0
cgb+,0,0
cm,0,0
cm-,0,0
cmb,0,0
cp,0,0
cpb,0,0
cv,0,0
cvb,0,0
da,0,0
da-,0,0
da+,0,0
dd,0,0
dd-,0,0
dd+,0,0
dl,0,0
dla,0,0
dla+,0,0
dls,0,0
dls+,0,0
dm,0,0
dm-,0,0
ds,0,0
dz,0,0
fa,0,0
fa-,0,0
fag,0,0
fe,0,0
fe-,0,0
fe+,0,0
fl,0,0
fl-,0,0
fm,0,0
fm-,0,0
frax,0,0
fs,0,0
fs-,0,0
fs+,0,0
gml,0,0
gmn,0,0
h,3,1
ha,3,0
ha-,3,0
ha+,3,0
hab,1,0
hab-,1,0
hab+,1,0
had,0,0
had-,0,0
hc,3,0
hc-,3,0
hc+,3,0
hcb,1,0
hcb-,1,0
hd,0,0
hd-,0,0
hd+,0,0
hdb,0,0
hdb-,0,0
hf,3,0
hf-,3,0
hf+,3,0
hfb,1,0
hfb-,1,0
hfb+,1,0
hfc,3,0
hfc-,3,0
hfc+,3,0
hft,3,0
hft-,3,0
hj,3,1
hj-,3,1
hj+,3,1
hjb,1,1
hjb-,1,1
hjb+,1,1
hk,3,1
hk-,3,1
hm,3,0
hm-,3,0
hmb,1,0
hme,3,0
hmm,3,0
hmm-,3,0
hmm+,3,0
hmo,3,0
hmo-,3,0
hmo+,3,0
hn,3,0
hn-,3,0
hn+,3,0
hnb,1,0
hp,3,2
hp+,3,1
hpr,2,1
hpr-,2,1
hpr+,2,1
hr,1,1
hr-,1,1
hr+,1,1
hrb,1,1
hrb-,1,1
hrb+,1,1
hu,3,0
hu-,3,0
hu+,3,0
hub,1,0
hub-,1,0
hx,3,2
hz,3,2
jun,0,0
k(ae),0,0
k(ae-),0,0
k(ae+),0,0
k(ah),0,0
k(ao),0,0
k(ao-),0,0
k(aom),0,0
k(aom-),0,0
k(cd),3,0
k(ce),1,0
k(cg),1,0
k(cg-),1,0
k(cg+),1,0
k(cgb),0,0
k(cm),0,0
k(cmb),0,0
k(cp),1,0
k(cp-),1,0
k(cpb),1,0
k(da),1,0
k(ha),3,0
k(ha-),3,0
k(ha+),3,0
k(hab),1,0
k(hab-),1,0
k(hc),3,0
k(hc-),3,0
k(hd),3,0
k(hf),1,0
k(hf-),1,0
k(hf+),1,0
k(hfc),1,0
k(hfc-),1,0
k(hft),1,0
k(hft-),1,0
k(hj),1,0
k(hj-),1,0
k(hm),1,0
k(hn),1,0
k(hn-),1,0
k(hp+),1,0
k(hr),1,0
k(hr-),1,0
k(hr+),1,0
k(hrb),0,0
k(hu),3,0
k(hu-),3,0
k(hu+),3,0
k(ku),1,0
k(ku-),1,0
k(ku+),1,0
k(kub),0,0
k(mc),1,0
k(mc-),1,0
k(mr),1,0
k(mr-),1,0
k(mr+),1,0
k(mrb),0,0
k(mru),1,0
k(mru-),1,0
k(ms),1,0
k(ms-),1,0
k(mz),1,0
k(mz-),1,0
ka,0,0
kb,0,0
kb-,0,0
kb+,0,0
kba,0,0
kba-,0,0
kba+,0,0
kbac,0,0
kbac-,0,0
kbae,0,0
kbae-,0,0
kbae+,0,0
kbb,0,0
kbb-,0,0
kbc,0,0
kbc-,0,0
kbc+,0,0
kbca,0,0
kbca-,0,0
kbca+,0,0
kbco,0,0
kbcr,0,0
kbcr-,0,0
kbf,0,0
kbf-,0,0
kbf+,0,0
kbfr,0,0
kbfr-,0,0
kbfr+,0,0
kbgml,0,0
kbgml-,0,0
kbgml+,0,0
kbgmn,0,0
kbj,0,0
kbj-,0,0
kbj+,0,0
kblar,0,0
kbp,0,0
kbp-,0,0
kbp+,0,0
kbpica,0,0
kbpica-,0,0
kbpinn,0,0
kbpins,0,0
kbpins-,0,0
kbpl,0,0
kbpl-,0,0
kbpl+,0,0
kbpr,0,0
kbpr-,0,0
kbprua,0,0
kbpse,0,0
kbpt,0,0
kbq,0,0
kbq-,0,0
kbq+,0,0
kbqr,0,0
kbqr-,0,0
kbqr+,0,0
kbr,0,0
kbr-,0,0
kbr+,0,0
kbs,0,0
kbs-,0,0
kbs+,0,0
kbt,0,0
kbt-,0,0
kbt+,0,0
kbu,0,0
kbu-,0,0
kc,0,0
kd,0,0
kd-,0,0
kf,0,0
kf-,0,0
kg,0,0
kh,0,0
kh-,0,0
kh(fa),0,0
kh(fe),0,0
kh(fl),0,0
kh(fs),0,0
kh(fs-),0,0
kh(qa),0,0
kh(qa-),0,0
kh(qb),0,0
kh(qb-),0,0
kh(qb+),0,0
kh(qe),0,0
kh(ql),0,0
kh(qs),0,0
kh(qs-),0,0
kh(qs+),0,0
kh(sf),0,0
kh(sf-),0,0
kh(sg),0,0
kh(sg-),0,0
kh(sp),0,0
kh(sp-),0,0
kh(sp+),0,0
kh(sz),0,0
kh(sz-),0,0
kh(va),0,0
kh(va-),0,0
kh(va+),0,0
kh(vc),0,0
kh(vc-),0,0
kh(vf),0,0
kh(vm),0,0
kh(vm-),0,0
kh(vn),0,0
kh(vn-),0,0
kh+,0,0
kha,0,0
kha-,0,0
kha+,0,0
khac,0,0
khac-,0,0
khae,0,0
khb,0,0
khb-,0,0
khb+,0,0
khc,0,0
khc-,0,0
khca,0,0
khca-,0,0
khca+,0,0
khco,0,0
khco-,0,0
khco+,0,0
khcr,0,0
khcr-,0,0
khcr+,0,0
khf,0,0
khf-,0,0
khfr,0,0
khfr-,0,0
khfr+,0,0
khfran-,0,0
khgml,0,0
khgml-,0,0
khgml+,0,0
khgmn,0,0
khgmn-,0,0
khlig,0,0
khlig-,0,0
khp,0,0
khp-,0,0
khpr,0,0
