Cijfercode,Code,Zuurgraadklasse bodem,pH‐KCl bodem
1,Z,zuur,3.5 ‐ 5
2,ZW,zwak zuur,5 ‐ 6.5
3,B,neutraal/basisch,6.5 ‐ 8
