management,bodemcijfercode,Ntot_min,Ntot_max,trofie_code,old_min,old_max
0,10000,0,60,1,10000,10060
0,10000,60,156,2,10060,10156
0,10000,156,293,3,10156,10293
0,10000,293,400,4,10293,10400
0,10000,400,10000,5,10400,20000
0,20000,0,60,3,20000,20060
0,20000,60,160,4,20060,20160
0,20000,160,10000,5,20160,30000
0,30000,0,60,1,30000,30060
0,30000,60,156,2,30060,30156
0,30000,156,293,3,30156,30293
0,30000,293,400,4,30293,30400
0,30000,400,10000,5,30400,40000
0,40000,0,60,1,40000,40060
0,40000,60,156,2,40060,40156
0,40000,156,293,3,40156,40293
0,40000,293,400,4,40293,40400
0,40000,400,10000,5,40400,50000
0,50000,0,60,1,50000,50060
0,50000,60,156,2,50060,50156
0,50000,156,293,3,50156,50293
0,50000,293,400,4,50293,50400
0,50000,400,10000,5,50400,60000
0,60000,0,293,3,60000,60293
0,60000,293,400,4,60293,60400
0,60000,400,10000,5,60400,70000
0,70000,0,60,1,70000,70060
0,70000,60,156,2,70060,70156
0,70000,156,293,3,70156,70293
0,70000,293,400,4,70293,70400
0,70000,400,10000,5,70400,80000
0,80000,0,60,1,80000,80060
0,80000,60,156,2,80060,80156
0,80000,156,293,3,80156,80293
0,80000,293,400,4,80293,80400
0,80000,400,10000,5,80400,90000
0,90000,0,60,1,90000,90060
0,90000,60,156,2,90060,90156
0,90000,156,293,3,90156,90293
0,90000,293,400,4,90293,90400
0,90000,400,10000,5,90400,100000
0,100000,0,60,1,100000,100060
0,100000,60,156,2,100060,100156
0,100000,156,293,3,100156,100293
0,100000,293,400,4,100293,100400
0,100000,400,10000,5,100400,110000
0,110000,0,60,1,110000,110060
0,110000,60,156,2,110060,110156
0,110000,156,293,3,110156,110293
0,110000,293,400,4,110293,110400
0,110000,400,10000,5,110400,120000
0,120000,0,60,1,120000,120060
0,120000,60,156,2,120060,120156
0,120000,156,293,3,120156,120293
0,120000,293,400,4,120293,120400
0,120000,400,10000,5,120400,130000
0,130000,0,60,1,130000,130060
0,130000,60,156,2,130060,130156
0,130000,156,293,3,130156,130293
0,130000,293,400,4,130293,130400
0,130000,400,10000,5,130400,140000
0,140000,0,60,1,140000,140060
0,140000,60,156,2,140060,140156
0,140000,156,293,3,140156,140293
0,140000,293,400,4,140293,140400
0,140000,400,10000,5,140400,150000
0,150000,0,60,1,150000,150060
0,150000,60,156,2,150060,150156
0,150000,156,293,3,150156,150293
0,150000,293,400,4,150293,150400
0,150000,400,10000,5,150400,160000
1,10000,0,75,1,510000,510075
1,10000,75,245,2,510075,510245
1,10000,245,418,3,510245,510418
1,10000,418,569,4,510418,510569
1,10000,569,10000,5,510569,520000
1,20000,0,75,3,520000,520075
1,20000,75,175,4,520075,520175
1,20000,175,10000,5,520175,530000
1,30000,0,75,1,530000,530075
1,30000,75,245,2,530075,530245
1,30000,245,418,3,530245,530418
1,30000,418,569,4,530418,530569
1,30000,569,10000,5,530569,540000
1,40000,0,75,1,540000,540075
1,40000,75,245,2,540075,540245
1,40000,245,418,3,540245,540418
1,40000,418,569,4,540418,540569
1,40000,569,10000,5,540569,550000
1,50000,0,75,1,550000,550075
1,50000,75,245,2,550075,550245
1,50000,245,418,3,550245,550418
1,50000,418,569,4,550418,550569
1,50000,569,10000,5,550569,560000
1,60000,0,418,3,560000,560418
1,60000,418,569,4,560418,560569
1,60000,569,10000,5,560569,570000
1,70000,0,75,1,570000,570075
1,70000,75,245,2,570075,570245
1,70000,245,418,3,570245,570418
1,70000,418,569,4,570418,570569
1,70000,569,10000,5,570569,580000
1,80000,0,75,1,580000,580075
1,80000,75,245,2,580075,580245
1,80000,245,418,3,580245,580418
1,80000,418,569,4,580418,580569
1,80000,569,10000,5,580569,590000
1,90000,0,75,1,590000,590075
1,90000,75,245,2,590075,590245
1,90000,245,418,3,590245,590418
1,90000,418,569,4,590418,590569
1,90000,569,10000,5,590569,600000
1,100000,0,75,1,600000,600075
1,100000,75,245,2,600075,600245
1,100000,245,418,3,600245,600418
1,100000,418,569,4,600418,600569
1,100000,569,10000,5,600569,610000
1,110000,0,75,1,610000,610075
1,110000,75,245,2,610075,610245
1,110000,245,418,3,610245,610418
1,110000,418,569,4,610418,610569
1,110000,569,10000,5,610569,620000
1,120000,0,75,1,620000,620075
1,120000,75,245,2,620075,620245
1,120000,245,418,3,620245,620418
1,120000,418,569,4,620418,620569
1,120000,569,10000,5,620569,630000
1,130000,0,75,1,630000,630075
1,130000,75,245,2,630075,630245
1,130000,245,418,3,630245,630418
1,130000,418,569,4,630418,630569
1,130000,569,10000,5,630569,640000
1,140000,0,75,1,640000,640075
1,140000,75,245,2,640075,640245
1,140000,245,418,3,640245,640418
1,140000,418,569,4,640418,640569
1,140000,569,10000,5,640569,650000
1,150000,0,75,1,650000,650075
1,150000,75,245,2,650075,650245
1,150000,245,418,3,650245,650418
1,150000,418,569,4,650418,650569
1,150000,569,10000,5,650569,660000
