rainwater,mineral_richness,inundation,seepage,soil_mlw_class,acidity
1,1,1,1,1,3
1,1,1,1,2,2
1,1,1,1,3,1
1,1,1,1,4,3
1,1,1,1,5,2
1,1,1,1,6,1
1,1,1,1,7,3
1,1,1,1,8,2
1,1,1,1,9,1
1,1,1,2,1,1
1,1,1,2,2,1
1,1,1,2,3,1
1,1,1,2,4,1
1,1,1,2,5,1
1,1,1,2,6,1
1,1,1,2,7,1
1,1,1,2,8,1
1,1,1,2,9,1
1,1,1,3,1,1
1,1,1,3,2,1
1,1,1,3,3,1
1,1,1,3,4,1
1,1,1,3,5,1
1,1,1,3,6,1
1,1,1,3,7,1
1,1,1,3,8,1
1,1,1,3,9,1
1,1,2,1,1,3
1,1,2,1,2,3
1,1,2,1,3,3
1,1,2,1,4,3
1,1,2,1,5,3
1,1,2,1,6,3
1,1,2,1,7,3
1,1,2,1,8,3
1,1,2,1,9,3
1,1,2,2,1,3
1,1,2,2,2,3
1,1,2,2,3,3
1,1,2,2,4,3
1,1,2,2,5,3
1,1,2,2,6,3
1,1,2,2,7,3
1,1,2,2,8,3
1,1,2,2,9,3
1,1,2,3,1,1
1,1,2,3,2,1
1,1,2,3,3,1
1,1,2,3,4,1
1,1,2,3,5,1
1,1,2,3,6,1
1,1,2,3,7,1
1,1,2,3,8,1
1,1,2,3,9,1
1,2,1,1,1,3
1,2,1,1,2,2
1,2,1,1,3,1
1,2,1,1,4,3
1,2,1,1,5,2
1,2,1,1,6,1
1,2,1,1,7,3
1,2,1,1,8,2
1,2,1,1,9,1
1,2,1,2,1,3
1,2,1,2,2,2
1,2,1,2,3,1
1,2,1,2,4,3
1,2,1,2,5,2
1,2,1,2,6,1
1,2,1,2,7,3
1,2,1,2,8,2
1,2,1,2,9,1
1,2,1,3,1,3
1,2,1,3,2,2
1,2,1,3,3,1
1,2,1,3,4,3
1,2,1,3,5,2
1,2,1,3,6,1
1,2,1,3,7,3
1,2,1,3,8,2
1,2,1,3,9,1
1,2,2,1,1,3
1,2,2,1,2,3
1,2,2,1,3,3
1,2,2,1,4,3
1,2,2,1,5,3
1,2,2,1,6,3
1,2,2,1,7,3
1,2,2,1,8,3
1,2,2,1,9,3
1,2,2,2,1,3
1,2,2,2,2,3
1,2,2,2,3,3
1,2,2,2,4,3
1,2,2,2,5,3
1,2,2,2,6,3
1,2,2,2,7,3
1,2,2,2,8,3
1,2,2,2,9,3
1,2,2,3,1,3
1,2,2,3,2,3
1,2,2,3,3,3
1,2,2,3,4,3
1,2,2,3,5,3
1,2,2,3,6,3
1,2,2,3,7,3
1,2,2,3,8,3
1,2,2,3,9,3
2,1,1,1,1,1
2,1,1,1,2,1
2,1,1,1,3,1
2,1,1,1,4,1
2,1,1,1,5,1
2,1,1,1,6,1
2,1,1,1,7,1
2,1,1,1,8,1
2,1,1,1,9,1
2,1,1,2,1,1
2,1,1,2,2,1
2,1,1,2,3,1
2,1,1,2,4,1
2,1,1,2,5,1
2,1,1,2,6,1
2,1,1,2,7,1
2,1,1,2,8,1
2,1,1,2,9,1
2,1,1,3,1,1
2,1,1,3,2,1
2,1,1,3,3,1
2,1,1,3,4,1
2,1,1,3,5,1
2,1,1,3,6,1
2,1,1,3,7,1
2,1,1,3,8,1
2,1,1,3,9,1
2,1,2,1,1,3
2,1,2,1,2,3
2,1,2,1,3,3
2,1,2,1,4,3
2,1,2,1,5,3
2,1,2,1,6,3
2,1,2,1,7,3
2,1,2,1,8,3
2,1,2,1,9,3
2,1,2,2,1,3
2,1,2,2,2,3
2,1,2,2,3,3
2,1,2,2,4,3
2,1,2,2,5,3
2,1,2,2,6,3
2,1,2,2,7,3
2,1,2,2,8,3
2,1,2,2,9,3
2,1,2,3,1,1
2,1,2,3,2,1
2,1,2,3,3,1
2,1,2,3,4,1
2,1,2,3,5,1
2,1,2,3,6,1
2,1,2,3,7,1
2,1,2,3,8,1
2,1,2,3,9,1
2,2,1,1,1,1
2,2,1,1,2,1
2,2,1,1,3,1
2,2,1,1,4,1
2,2,1,1,5,1
2,2,1,1,6,1
2,2,1,1,7,1
2,2,1,1,8,1
2,2,1,1,9,1
2,2,1,2,1,1
2,2,1,2,2,1
2,2,1,2,3,1
2,2,1,2,4,1
2,2,1,2,5,1
2,2,1,2,6,1
2,2,1,2,7,1
2,2,1,2,8,1
2,2,1,2,9,1
2,2,1,3,1,1
2,2,1,3,2,1
2,2,1,3,3,1
2,2,1,3,4,1
2,2,1,3,5,1
2,2,1,3,6,1
2,2,1,3,7,1
2,2,1,3,8,1
2,2,1,3,9,1
2,2,2,1,1,3
2,2,2,1,2,3
2,2,2,1,3,3
2,2,2,1,4,3
2,2,2,1,5,3
2,2,2,1,6,3
2,2,2,1,7,3
2,2,2,1,8,3
2,2,2,1,9,3
2,2,2,2,1,3
2,2,2,2,2,3
2,2,2,2,3,3
2,2,2,2,4,3
2,2,2,2,5,3
2,2,2,2,6,3
2,2,2,2,7,3
2,2,2,2,8,3
2,2,2,2,9,3
2,2,2,3,1,3
2,2,2,3,2,3
2,2,2,3,3,3
2,2,2,3,4,3
2,2,2,3,5,3
2,2,2,3,6,3
2,2,2,3,7,3
2,2,2,3,8,3
2,2,2,3,9,3
