BodemGroep,GLG_min,GLG_max,BodemGlgKlasse,orig_min,orig_max
0,0,9000,0,0,9000
1,-999,80,1,9001,10080
1,80,110,2,10080,10110
1,110,9000,3,10110,19000
2,-999,50,4,19001,20050
2,50,80,5,20050,20080
2,80,9000,6,20080,29000
3,-999,30,7,29001,30030
3,30,50,8,30030,30050
3,50,9000,9,30050,39000
