soil_name,msw_min,msw_max,nitrogen_mineralisation
K1,-5000,5,11
K1,5,10,13
K1,10,15,15
K1,15,20,17
K1,20,25,21
K1,25,30,22
K1,30,35,25
K1,35,40,27
K1,40,999,29
K1,999,5000,30
KV,-5000,5,40
KV,5,10,54
KV,10,15,68
KV,15,20,75
KV,20,25,91
KV,25,30,101
KV,30,35,120
KV,35,40,127
KV,40,999,134
KV,999,5000,140
Le,-5000,5,11
Le,5,10,13
Le,10,15,15
Le,15,20,17
Le,20,25,21
Le,25,30,22
Le,30,35,25
Le,35,40,27
Le,40,999,29
Le,999,5000,30
MK,-5000,5,11
MK,5,10,13
MK,10,15,15
MK,15,20,17
MK,20,25,21
MK,25,30,22
MK,30,35,25
MK,35,40,27
MK,40,999,29
MK,999,5000,30
P,-5000,5,50
P,5,10,55
P,10,15,76
P,15,20,112
P,20,25,149
P,25,30,171
P,30,35,180
P,35,40,186
P,40,45,190
P,45,50,193
P,50,55,194
P,55,60,195
P,60,65,197
P,65,70,198
P,70,75,198
P,75,999,199
P,999,5000,200
V,-5000,5,50
V,5,10,55
V,10,15,76
V,15,20,112
V,20,25,149
V,25,30,171
V,30,35,180
V,35,40,186
V,40,45,190
V,45,50,193
V,50,55,194
V,55,60,195
V,60,65,197
V,65,70,198
V,70,75,198
V,75,999,199
V,999,5000,200
NG,-5000,5000,0
Z1,-5000,5,11
Z1,5,10,13
Z1,10,15,15
Z1,15,20,17
Z1,20,25,21
Z1,25,30,22
Z1,30,35,25
Z1,35,40,27
Z1,40,45,29
Z1,45,999,30
Z1,999,5000,30
Z2,-5000,5,30
Z2,5,10,36
Z2,10,15,45
Z2,15,20,55
Z2,20,25,61
Z2,25,30,65
Z2,30,35,69
Z2,35,40,76
Z2,40,45,79
Z2,45,999,79
Z2,999,5000,80
ZV,-5000,5,45
ZV,5,10,50
ZV,10,15,65
ZV,15,20,84
ZV,20,25,105
ZV,25,30,127
ZV,30,35,139
ZV,35,40,150
ZV,40,45,155
ZV,45,50,160
ZV,50,55,161
ZV,55,60,162
ZV,60,65,163
ZV,65,70,163
ZV,70,75,164
ZV,75,999,164
ZV,999,5000,165
L1,-5000,5,39
L1,5,10,43
L1,10,15,47
L1,15,20,52
L1,20,25,58
L1,25,30,67
L1,30,35,75
L1,35,40,83
L1,40,5000,87
LV,-5000,5,40
LV,5,10,54
LV,10,15,68
LV,15,20,75
LV,20,25,91
LV,25,30,101
LV,30,35,120
LV,35,40,127
LV,40,999,134
LV,999,5000,140
