veg_code,veg_type,Nederlandse Naam,Code De Nocker,Type De Nocker
1,Sphagno-Betuletum,Berkenbroekbos,5,Bos
2,Carici elongatae-Alnetum,Mesotroof elzenbroekbos,6,Bos
3,Macrophorbio-Alnetum,Ruigte elzenbroekbos,7,Bos
4,Pruno-Fraxinetum,Vogelkers-essenbos,10,Bos
5,Carpinion betuli,Haagbeuken - verbond,2,Bos
6,Betulo-Quercetum roboris,Berken-eikenbos,1,Bos
7,Caricion gracilis,Verbond van Scherpe zegge,4,Natuur
8,Filipendulion,Moerasspirea - verbond,10,Natuur
9,Galio - Alliarion,Verbond van Look-zonder-look,35,Natuur
10,RG Phalaris arundinacea-[Convolvulo-Filipendulion],Rompgemeenschap van Rietgras  ,,Natuur
11,RG Juncus effusus-[Molinietalia/Lolio-Potentillion],Rompgemeenschap van Pitrus,,Natuur
12,Magnocaricion met Phragmites,Grote zeggevegetatie met Riet ,4,Natuur
13,RG Glyceria maxima-[Phragmitetea],Rompgemeenschap van Liesgras ,,Natuur
14,Caricion nigrae,Verbond van Zwarte zegge,41,Natuur
15,Caricion davallianae,Knopbies - verbond/ kalkmoeras,23,Natuur
16,Lolio-Potentillion anserinae,Zilverschoon - verbond,12,Natuur
17,Junco - Molinion,Verbond van Biezenknoppen en Pijpestrootje,29,Natuur
18,Calthion palustris,Dotterbloem - verbond,16,Natuur
19,Alopecurion pratensis,Verbond van Grote vossestaart,15,Natuur
20,Arrhenatherion elatioris,Glanshaver - verbond,39,Natuur
21,Cynosurion cristati,Kamgras - verbond,26,Natuur
22,Ericion tetralicis,Dophei - verbond,31,Natuur
23,Venige heide,Venige heide,33,Natuur
24,Oxycocco - Ericion,Hoogveenmos - verbond,33,Natuur
25,Rhynchosporion albae,Verbond van Veenmos en Snavelbies,34,Natuur
26,RG Molinia caerulea [Oxycocco-sphagnetea],Rompgemeenschap van Pijpestrootje,,Natuur
27,RG Myrica gale [Ericion tetralicis],Rompgemeenschap van Wilde gagel ,27,Natuur
28,Calluno - Genistion pilosae,Verbond van Struikhei en Kruipbrem,49,Natuur
