veg_code,veg_type,soil_name,nutrient_level,acidity,mhw_min,mhw_max,mlw_min,mlw_max,management,inundation
1,Sphagno-Betuletum,KV,1,1,20,1,38,20,0,0
1,Sphagno-Betuletum,KV,1,2,20,1,38,20,0,0
1,Sphagno-Betuletum,KV,2,1,20,1,38,20,0,0
1,Sphagno-Betuletum,KV,2,2,20,1,38,20,0,0
1,Sphagno-Betuletum,V,1,1,23,-18,36,5,0,0
1,Sphagno-Betuletum,V,1,2,23,-18,36,5,0,0
1,Sphagno-Betuletum,V,2,1,23,-18,36,5,0,0
1,Sphagno-Betuletum,V,2,2,23,-18,36,5,0,0
1,Sphagno-Betuletum,ZV,1,1,36,-1,77,20,0,0
1,Sphagno-Betuletum,ZV,1,2,36,-1,77,20,0,0
1,Sphagno-Betuletum,ZV,2,1,36,-1,77,20,0,0
1,Sphagno-Betuletum,ZV,2,2,36,-1,77,20,0,0
2,Carici elongatae-Alnetum,L1,2,1,46,-6,110,29,0,0
2,Carici elongatae-Alnetum,L1,2,1,46,-6,110,29,0,1
2,Carici elongatae-Alnetum,L1,2,1,46,-6,110,29,0,2
2,Carici elongatae-Alnetum,L1,2,2,46,-6,110,29,0,0
2,Carici elongatae-Alnetum,L1,2,2,46,-6,110,29,0,1
2,Carici elongatae-Alnetum,L1,2,2,46,-6,110,29,0,2
2,Carici elongatae-Alnetum,L1,3,1,46,-6,110,29,0,0
2,Carici elongatae-Alnetum,L1,3,1,46,-6,110,29,0,1
2,Carici elongatae-Alnetum,L1,3,1,46,-6,110,29,0,2
2,Carici elongatae-Alnetum,L1,3,2,46,-6,110,29,0,0
2,Carici elongatae-Alnetum,L1,3,2,46,-6,110,29,0,1
2,Carici elongatae-Alnetum,L1,3,2,46,-6,110,29,0,2
2,Carici elongatae-Alnetum,LV,2,1,46,-6,110,29,0,0
2,Carici elongatae-Alnetum,LV,2,1,46,-6,110,29,0,1
2,Carici elongatae-Alnetum,LV,2,1,46,-6,110,29,0,2
2,Carici elongatae-Alnetum,LV,2,2,46,-6,110,29,0,0
2,Carici elongatae-Alnetum,LV,2,2,46,-6,110,29,0,1
2,Carici elongatae-Alnetum,LV,2,2,46,-6,110,29,0,2
2,Carici elongatae-Alnetum,LV,3,1,46,-6,110,29,0,0
2,Carici elongatae-Alnetum,LV,3,1,46,-6,110,29,0,1
2,Carici elongatae-Alnetum,LV,3,1,46,-6,110,29,0,2
2,Carici elongatae-Alnetum,LV,3,2,46,-6,110,29,0,0
2,Carici elongatae-Alnetum,LV,3,2,46,-6,110,29,0,1
2,Carici elongatae-Alnetum,LV,3,2,46,-6,110,29,0,2
2,Carici elongatae-Alnetum,V,2,1,18,-24,32,-15,0,0
2,Carici elongatae-Alnetum,V,2,1,18,-24,32,-15,0,1
2,Carici elongatae-Alnetum,V,2,1,18,-24,32,-15,0,2
2,Carici elongatae-Alnetum,V,2,2,18,-24,32,-15,0,0
2,Carici elongatae-Alnetum,V,2,2,18,-24,32,-15,0,1
2,Carici elongatae-Alnetum,V,2,2,18,-24,32,-15,0,2
2,Carici elongatae-Alnetum,V,3,1,18,-24,32,-15,0,0
2,Carici elongatae-Alnetum,V,3,1,18,-24,32,-15,0,1
2,Carici elongatae-Alnetum,V,3,1,18,-24,32,-15,0,2
2,Carici elongatae-Alnetum,V,3,2,18,-24,32,-15,0,0
2,Carici elongatae-Alnetum,V,3,2,18,-24,32,-15,0,1
2,Carici elongatae-Alnetum,V,3,2,18,-24,32,-15,0,2
2,Carici elongatae-Alnetum,Z1,2,1,46,-6,97,14,0,0
2,Carici elongatae-Alnetum,Z1,2,1,46,-6,97,14,0,1
2,Carici elongatae-Alnetum,Z1,2,1,46,-6,97,14,0,2
2,Carici elongatae-Alnetum,Z1,3,1,46,-6,97,14,0,0
2,Carici elongatae-Alnetum,Z1,3,1,46,-6,97,14,0,1
2,Carici elongatae-Alnetum,Z1,3,1,46,-6,97,14,0,2
2,Carici elongatae-Alnetum,Z2,2,1,46,-6,97,14,0,0
2,Carici elongatae-Alnetum,Z2,2,1,46,-6,97,14,0,1
2,Carici elongatae-Alnetum,Z2,2,1,46,-6,97,14,0,2
2,Carici elongatae-Alnetum,Z2,3,1,46,-6,97,14,0,0
2,Carici elongatae-Alnetum,Z2,3,1,46,-6,97,14,0,1
2,Carici elongatae-Alnetum,Z2,3,1,46,-6,97,14,0,2
2,Carici elongatae-Alnetum,ZV,2,1,46,-6,97,14,0,0
2,Carici elongatae-Alnetum,ZV,2,1,46,-6,97,14,0,1
2,Carici elongatae-Alnetum,ZV,2,1,46,-6,97,14,0,2
2,Carici elongatae-Alnetum,ZV,2,2,46,-6,97,14,0,0
2,Carici elongatae-Alnetum,ZV,2,2,46,-6,97,14,0,1
2,Carici elongatae-Alnetum,ZV,2,2,46,-6,97,14,0,2
2,Carici elongatae-Alnetum,ZV,3,1,46,-6,97,14,0,0
2,Carici elongatae-Alnetum,ZV,3,1,46,-6,97,14,0,1
2,Carici elongatae-Alnetum,ZV,3,1,46,-6,97,14,0,2
2,Carici elongatae-Alnetum,ZV,3,2,46,-6,97,14,0,0
2,Carici elongatae-Alnetum,ZV,3,2,46,-6,97,14,0,1
2,Carici elongatae-Alnetum,ZV,3,2,46,-6,97,14,0,2
3,Macrophorbio-Alnetum,K1,2,1,30,-19,82,4,0,0
3,Macrophorbio-Alnetum,K1,2,1,30,-19,82,4,0,1
3,Macrophorbio-Alnetum,K1,2,1,30,-19,82,4,0,2
3,Macrophorbio-Alnetum,K1,2,2,30,-19,82,4,0,0
3,Macrophorbio-Alnetum,K1,2,2,30,-19,82,4,0,1
3,Macrophorbio-Alnetum,K1,2,2,30,-19,82,4,0,2
3,Macrophorbio-Alnetum,K1,2,3,30,-19,82,4,0,0
3,Macrophorbio-Alnetum,K1,2,3,30,-19,82,4,0,1
3,Macrophorbio-Alnetum,K1,2,3,30,-19,82,4,0,2
3,Macrophorbio-Alnetum,K1,3,1,30,-19,82,4,0,0
3,Macrophorbio-Alnetum,K1,3,1,30,-19,82,4,0,1
3,Macrophorbio-Alnetum,K1,3,1,30,-19,82,4,0,2
3,Macrophorbio-Alnetum,K1,3,2,30,-19,82,4,0,0
3,Macrophorbio-Alnetum,K1,3,2,30,-19,82,4,0,1
3,Macrophorbio-Alnetum,K1,3,2,30,-19,82,4,0,2
3,Macrophorbio-Alnetum,K1,3,3,30,-19,82,4,0,0
3,Macrophorbio-Alnetum,K1,3,3,30,-19,82,4,0,1
3,Macrophorbio-Alnetum,K1,3,3,30,-19,82,4,0,2
3,Macrophorbio-Alnetum,K1,4,1,30,-19,82,4,0,0
