soil_group,mlw_min,mlw_max,soil_mlw_class
1,-999,80,1
1,80,110,2
1,110,9000,3
2,-999,50,4
2,50,80,5
2,80,9000,6
3,-999,30,7
3,30,50,8
3,50,9000,9
