management_influence,soil_code,total_nitrogen_min,total_nitrogen_max,nutrient_level
0,10000,0,60,1
0,10000,60,156,2
0,10000,156,293,3
0,10000,293,400,4
0,10000,400,10000,5
0,20000,0,60,3
0,20000,60,160,4
0,20000,160,10000,5
0,30000,0,60,1
0,30000,60,156,2
0,30000,156,293,3
0,30000,293,400,4
0,30000,400,10000,5
0,40000,0,60,1
0,40000,60,156,2
0,40000,156,293,3
0,40000,293,400,4
0,40000,400,10000,5
0,50000,0,60,1
0,50000,60,156,2
0,50000,156,293,3
0,50000,293,400,4
0,50000,400,10000,5
0,60000,0,293,3
0,60000,293,400,4
0,60000,400,10000,5
0,70000,0,60,1
0,70000,60,156,2
0,70000,156,293,3
0,70000,293,400,4
0,70000,400,10000,5
0,80000,0,60,1
0,80000,60,156,2
0,80000,156,293,3
0,80000,293,400,4
0,80000,400,10000,5
0,90000,0,60,1
0,90000,60,156,2
0,90000,156,293,3
0,90000,293,400,4
0,90000,400,10000,5
0,100000,0,60,1
0,100000,60,156,2
0,100000,156,293,3
0,100000,293,400,4
0,100000,400,10000,5
0,110000,0,60,1
0,110000,60,156,2
0,110000,156,293,3
0,110000,293,400,4
0,110000,400,10000,5
0,120000,0,60,1
0,120000,60,156,2
0,120000,156,293,3
0,120000,293,400,4
0,120000,400,10000,5
0,130000,0,60,1
0,130000,60,156,2
0,130000,156,293,3
0,130000,293,400,4
0,130000,400,10000,5
0,140000,0,60,1
0,140000,60,156,2
0,140000,156,293,3
0,140000,293,400,4
0,140000,400,10000,5
0,150000,0,60,1
0,150000,60,156,2
0,150000,156,293,3
0,150000,293,400,4
0,150000,400,10000,5
1,10000,0,75,1
1,10000,75,245,2
1,10000,245,418,3
1,10000,418,569,4
1,10000,569,10000,5
1,20000,0,75,3
1,20000,75,175,4
1,20000,175,10000,5
1,30000,0,75,1
1,30000,75,245,2
1,30000,245,418,3
1,30000,418,569,4
1,30000,569,10000,5
1,40000,0,75,1
1,40000,75,245,2
1,40000,245,418,3
1,40000,418,569,4
1,40000,569,10000,5
1,50000,0,75,1
1,50000,75,245,2
1,50000,245,418,3
1,50000,418,569,4
1,50000,569,10000,5
1,60000,0,418,3
1,60000,418,569,4
1,60000,569,10000,5
1,70000,0,75,1
1,70000,75,245,2
1,70000,245,418,3
1,70000,418,569,4
1,70000,569,10000,5
1,80000,0,75,1
1,80000,75,245,2
1,80000,245,418,3
1,80000,418,569,4
1,80000,569,10000,5
1,90000,0,75,1
1,90000,75,245,2
1,90000,245,418,3
1,90000,418,569,4
1,90000,569,10000,5
1,100000,0,75,1
1,100000,75,245,2
1,100000,245,418,3
1,100000,418,569,4
1,100000,569,10000,5
1,110000,0,75,1
1,110000,75,245,2
1,110000,245,418,3
1,110000,418,569,4
1,110000,569,10000,5
1,120000,0,75,1
1,120000,75,245,2
1,120000,245,418,3
1,120000,418,569,4
1,120000,569,10000,5
1,130000,0,75,1
1,130000,75,245,2
1,130000,245,418,3
1,130000,418,569,4
1,130000,569,10000,5
1,140000,0,75,1
1,140000,75,245,2
1,140000,245,418,3
1,140000,418,569,4
1,140000,569,10000,5
1,150000,0,75,1
1,150000,75,245,2
1,150000,245,418,3
1,150000,418,569,4
1,150000,569,10000,5
