veg_code,veg_type,soil_code,nutrient_level,acidity,mhw_min,mhw_max,mlw_min,mlw_max,management,inundation
1,Sphagno-Betuletum,30000,2,1,20,1,38,20,0,0
1,Sphagno-Betuletum,30000,1,1,20,1,38,20,0,0
1,Sphagno-Betuletum,30000,2,2,20,1,38,20,0,0
1,Sphagno-Betuletum,30000,1,2,20,1,38,20,0,0
1,Sphagno-Betuletum,80000,2,1,23,-18,36,5,0,0
1,Sphagno-Betuletum,80000,1,1,23,-18,36,5,0,0
1,Sphagno-Betuletum,80000,2,2,23,-18,36,5,0,0
1,Sphagno-Betuletum,80000,1,2,23,-18,36,5,0,0
1,Sphagno-Betuletum,130000,2,1,36,-1,77,20,0,0
1,Sphagno-Betuletum,130000,1,1,36,-1,77,20,0,0
1,Sphagno-Betuletum,130000,2,2,36,-1,77,20,0,0
1,Sphagno-Betuletum,130000,1,2,36,-1,77,20,0,0
2,Carici elongatae-Alnetum,140000,2,1,46,-6,110,29,0,0
2,Carici elongatae-Alnetum,140000,2,2,46,-6,110,29,0,0
2,Carici elongatae-Alnetum,140000,3,1,46,-6,110,29,0,0
2,Carici elongatae-Alnetum,140000,3,2,46,-6,110,29,0,0
2,Carici elongatae-Alnetum,80000,2,1,18,-24,32,-15,0,0
2,Carici elongatae-Alnetum,80000,3,1,18,-24,32,-15,0,0
2,Carici elongatae-Alnetum,80000,2,2,18,-24,32,-15,0,0
2,Carici elongatae-Alnetum,80000,3,2,18,-24,32,-15,0,0
2,Carici elongatae-Alnetum,110000,2,1,46,-6,97,14,0,0
2,Carici elongatae-Alnetum,110000,3,1,46,-6,97,14,0,0
2,Carici elongatae-Alnetum,120000,2,1,46,-6,97,14,0,0
2,Carici elongatae-Alnetum,120000,3,1,46,-6,97,14,0,0
2,Carici elongatae-Alnetum,130000,2,1,46,-6,97,14,0,0
2,Carici elongatae-Alnetum,130000,3,1,46,-6,97,14,0,0
2,Carici elongatae-Alnetum,130000,2,2,46,-6,97,14,0,0
2,Carici elongatae-Alnetum,130000,3,2,46,-6,97,14,0,0
2,Carici elongatae-Alnetum,150000,2,1,46,-6,110,29,0,0
2,Carici elongatae-Alnetum,150000,3,1,46,-6,110,29,0,0
