,vegetation,presence,area_ha
0,1,no data,15.16
1,1,not present,14.44
2,1,present,9.88
3,2,no data,15.16
4,2,present,12.8
5,2,not present,11.52
6,3,present,18.44
7,3,no data,15.16
8,3,not present,5.88
9,4,not present,21.16
10,4,no data,15.16
11,4,present,3.16
12,5,not present,24.32
13,5,no data,15.16
14,6,not present,24.28
15,6,no data,15.16
16,6,present,0.04
17,7,present,17.76
18,7,no data,15.16
19,7,not present,6.56
20,8,present,20.04
21,8,no data,15.16
22,8,not present,4.28
23,9,not present,24.32
24,9,no data,15.16
25,10,not present,24.32
26,10,no data,15.16
27,11,present,18.6
28,11,no data,15.16
29,11,not present,5.72
30,12,no data,15.16
31,12,not present,12.76
32,12,present,11.56
33,13,not present,24.32
34,13,no data,15.16
35,14,present,18.68
36,14,no data,15.16
37,14,not present,5.64
38,15,not present,24.16
39,15,no data,15.16
40,15,present,0.16
41,16,not present,24.32
42,16,no data,15.16
43,17,not present,16.32
44,17,no data,15.16
45,17,present,8.0
46,18,present,18.92
47,18,no data,15.16
48,18,not present,5.4
49,19,not present,20.72
50,19,no data,15.16
51,19,present,3.6
52,20,not present,24.32
53,20,no data,15.16
54,21,not present,24.24
55,21,no data,15.16
56,21,present,0.08
57,22,not present,20.24
58,22,no data,15.16
59,22,present,4.08
60,23,no data,15.16
61,23,present,12.64
62,23,not present,11.68
63,24,no data,15.16
64,24,not present,13.64
65,24,present,10.68
66,25,not present,23.68
67,25,no data,15.16
68,25,present,0.64
69,26,not present,18.84
70,26,no data,15.16
71,26,present,5.48
72,27,present,22.08
73,27,no data,15.16
74,27,not present,2.24
75,28,not present,24.32
76,28,no data,15.16
